subject,condition,trial_type,trial_num,fixation_position,target_item,selected_item,correct,excluded
2,left,test,25,1,0,0,1,False
2,left,test,26,3,6,6,1,False
2,left,test,27,0,7,7,1,False
2,left,test,28,6,1,1,1,False
2,left,test,29,5,1,1,1,False
2,left,test,30,6,3,3,1,False
2,left,test,31,6,6,6,1,False
2,left,test,32,5,5,1,0,False
2,left,test,33,4,0,0,1,False
2,left,test,34,5,4,4,1,False
2,left,test,35,0,0,0,1,False
2,left,test,36,3,5,5,1,False
2,left,test,37,4,6,6,1,False
2,left,test,38,3,0,0,1,False
2,left,test,39,4,4,4,1,False
2,left,test,40,4,1,1,1,False
2,left,test,41,0,1,1,1,False
2,left,test,42,2,4,4,1,False
2,left,test,43,1,6,6,1,False
2,left,test,44,3,4,4,1,False
2,left,test,45,0,3,3,1,False
2,left,test,46,6,5,5,1,False
2,left,test,47,1,2,4,0,False
2,left,test,48,4,7,7,1,False
2,left,test,49,5,0,0,1,False
2,left,test,50,2,5,5,1,False
2,left,test,51,6,2,2,1,False
2,left,test,52,1,3,3,1,False
2,left,test,53,3,3,3,1,False
2,left,test,54,1,5,5,1,False
2,left,test,55,4,3,3,1,False
3,left,training,0,,5,4,0,True
3,left,training,1,,0,4,0,True
3,left,training,2,,1,7,0,True
3,left,training,3,,6,3,0,True
3,left,training,4,,4,7,0,True
3,left,training,5,,2,5,0,True
3,left,training,6,,3,3,1,True
3,left,training,7,,7,7,1,True
3,left,training,8,,3,3,1,True
3,left,training,9,,2,0,0,True
3,left,training,10,,0,6,0,True
3,left,training,11,,7,5,0,True
3,left,training,12,,1,6,0,True
3,left,training,13,,5,5,1,True
3,left,training,14,,4,4,1,True
3,left,training,15,,6,1,0,True
3,left,training,16,,1,2,0,True
3,left,training,17,,0,0,1,True
3,left,training,18,,7,7,1,True
3,left,training,19,,3,3,1,True
3,left,training,20,,4,1,0,True
3,left,training,21,,5,5,1,True
3,left,training,22,,6,7,0,True
3,left,training,23,,2,5,0,True
3,left,training,24,,5,5,1,True
3,left,training,25,,0,2,0,True
3,left,training,26,,2,2,1,True
3,left,training,27,,4,4,1,True
3,left,training,28,,3,7,0,True
3,left,training,29,,1,1,1,True
3,left,training,30,,7,7,1,True
3,left,training,31,,6,3,0,True
3,left,training,32,,1,5,0,True
3,left,training,33,,6,7,0,True
3,left,training,34,,5,0,0,True
3,left,training,35,,2,6,0,True
3,left,training,36,,7,7,1,True
3,left,training,37,,3,1,0,True
3,left,training,38,,0,0,1,True
3,left,training,39,,4,4,1,True
3,left,training,40,,1,1,1,True
3,left,training,41,,7,7,1,True
3,left,training,42,,5,5,1,True
3,left,training,43,,4,4,1,True
3,left,training,44,,2,1,0,True
3,left,training,45,,3,3,1,True
3,left,training,46,,6,7,0,True
3,left,training,47,,0,0,1,True
3,left,training,48,,1,1,1,True
3,left,training,49,,2,2,1,True
3,left,training,50,,3,3,1,True
3,left,training,51,,4,6,0,True
3,left,training,52,,6,3,0,True
3,left,training,53,,7,7,1,True
3,left,training,54,,5,5,1,True
3,left,training,55,,0,0,1,True
3,left,training,56,,0,0,1,True
3,left,training,57,,7,7,1,True
3,left,training,58,,2,1,0,True
3,left,training,59,,5,6,0,True
3,left,training,60,,1,2,0,True
3,left,training,61,,4,4,1,True
3,left,training,62,,6,1,0,True
3,left,training,63,,3,6,0,True
3,left,test,0,2,2,0,0,True
3,left,test,1,1,2,2,1,True
3,left,test,2,5,7,7,1,True
3,left,test,3,1,5,5,1,True
3,left,test,4,6,3,3,1,True
3,left,test,5,1,6,6,1,True
3,left,test,6,3,7,7,1,True
3,left,test,7,0,5,0,0,True
3,left,test,8,2,5,0,0,True
3,left,test,9,3,1,2,0,True
3,left,test,10,5,0,6,0,True
3,left,test,11,3,4,0,0,True
3,left,test,12,2,7,6,0,True
3,left,test,13,6,2,7,0,True
3,left,test,14,6,0,3,0,True
3,left,test,15,6,7,7,1,True
3,left,test,16,4,5,2,0,True
3,left,test,17,1,3,3,1,True
3,left,test,18,6,5,1,0,True
3,left,test,19,0,1,3,0,True
3,left,test,20,3,5,5,1,True
3,left,test,21,0,2,4,0,True
3,left,test,22,4,1,6,0,True
3,left,test,23,5,2,3,0,True
3,left,test,24,5,6,1,0,True
3,left,test,25,3,0,0,1,True
3,left,test,26,6,4,5,0,True
3,left,test,27,6,1,6,0,True
3,left,test,28,3,6,7,0,True
3,left,test,29,1,4,4,1,True
3,left,test,30,2,0,0,1,True
3,left,test,31,0,6,5,0,True
3,left,test,32,2,1,7,0,True
3,left,test,33,5,4,0,0,True
3,left,test,34,4,0,2,0,True
3,left,test,35,0,3,7,0,True
3,left,test,36,3,3,3,1,True
3,left,test,37,0,0,0,1,True
3,left,test,38,4,4,4,1,True
3,left,test,39,4,2,4,0,True
3,left,test,40,5,3,7,0,True
3,left,test,41,0,7,6,0,True
3,left,test,42,5,5,5,1,True
3,left,test,43,1,0,0,1,True
3,left,test,44,6,6,2,0,True
3,left,test,45,3,2,4,0,True
3,left,test,46,4,6,7,0,True
3,left,test,47,4,7,7,1,True
3,left,test,48,2,6,7,0,True
3,left,test,49,1,1,6,0,True
3,left,test,50,2,3,3,1,True
3,left,test,51,5,1,7,0,True
3,left,test,52,4,3,7,0,True
3,left,test,53,1,7,7,1,True
3,left,test,54,0,4,4,1,True
3,left,test,55,2,4,3,0,True
4,left,training,0,,6,2,0,False
4,left,training,1,,5,3,0,False
4,left,training,2,,0,3,0,False
4,left,training,3,,7,7,1,False
4,left,training,4,,4,4,1,False
4,left,training,5,,2,4,0,False
4,left,training,6,,1,1,1,False
4,left,training,7,,3,3,1,False
4,left,training,8,,6,5,0,False
4,left,training,9,,2,2,1,False
4,left,training,10,,3,3,1,False
4,left,training,11,,5,4,0,False
4,left,training,12,,1,2,0,False
4,left,training,13,,0,1,0,False
4,left,training,14,,4,6,0,False
4,left,training,15,,7,2,0,False
4,left,training,16,,3,3,1,False
4,left,training,17,,1,3,0,False
4,left,training,18,,0,1,0,False
4,left,training,19,,4,5,0,False
4,left,training,20,,6,5,0,False
4,left,training,21,,7,2,0,False
4,left,training,22,,2,2,1,False
4,left,training,23,,5,4,0,False
4,left,training,24,,6,4,0,False
4,left,training,25,,3,3,1,False
4,left,training,26,,0,3,0,False
4,left,training,27,,5,2,0,False
4,left,training,28,,1,5,0,False
4,left,training,29,,7,4,0,False
4,left,training,30,,4,2,0,False
4,left,training,31,,2,2,1,False
4,left,training,32,,1,1,1,False
4,left,training,33,,6,6,1,False
4,left,training,34,,2,2,1,False
4,left,training,35,,4,4,1,False
4,left,training,36,,3,3,1,False
4,left,training,37,,5,5,1,False
4,left,training,38,,0,0,1,False
4,left,training,39,,7,7,1,False
4,left,training,40,,2,2,1,False
4,left,training,41,,0,0,1,False
4,left,training,42,,5,5,1,False
4,left,training,43,,3,3,1,False
4,left,training,44,,6,6,1,False
4,left,training,45,,4,4,1,False
4,left,training,46,,7,7,1,False
4,left,training,47,,1,1,1,False
4,left,training,48,,5,5,1,False
4,left,training,49,,4,4,1,False
4,left,training,50,,1,1,1,False
4,left,training,51,,2,2,1,False
4,left,training,52,,0,0,1,False
4,left,training,53,,6,6,1,False
4,left,training,54,,7,5,0,False
4,left,training,55,,3,3,1,False
4,left,training,56,,1,1,1,False
4,left,training,57,,0,0,1,False
4,left,training,58,,5,5,1,False
4,left,training,59,,6,6,1,False
4,left,training,60,,2,2,1,False
4,left,training,61,,4,4,1,False
4,left,training,62,,3,3,1,False
4,left,training,63,,7,7,1,False
4,left,test,0,1,5,7,0,False
4,left,test,1,4,0,0,1,False
4,left,test,2,1,7,7,1,False
4,left,test,3,3,6,6,1,False
4,left,test,4,2,1,1,1,False
4,left,test,5,0,6,6,1,False
4,left,test,6,3,3,3,1,False
4,left,test,7,0,0,0,1,False
4,left,test,8,0,1,1,1,False
4,left,test,9,5,7,7,1,False
4,left,test,10,2,0,0,1,False
4,left,test,11,2,5,5,1,False
4,left,test,12,6,0,0,1,False
4,left,test,13,6,7,7,1,False
4,left,test,14,5,0,0,1,False
4,left,test,15,4,5,5,1,False
4,left,test,16,0,7,7,1,False
4,left,test,17,0,2,2,1,False
4,left,test,18,5,3,3,1,False
4,left,test,19,6,3,3,1,False
4,left,test,20,4,6,6,1,False
4,left,test,21,1,2,2,1,False
4,left,test,22,4,4,5,0,False
4,left,test,23,4,2,3,0,False
4,left,test,24,2,3,3,1,False
4,left,test,25,3,5,5,1,False
4,left,test,26,6,5,5,1,False
4,left,test,27,4,1,1,1,False
4,left,test,28,3,4,4,1,False
4,left,test,29,3,7,7,1,False
4,left,test,30,6,6,6,1,False
4,left,test,31,1,3,3,1,False
4,left,test,32,1,6,6,1,False
4,left,test,33,1,1,1,1,False
4,left,test,34,1,0,0,1,False
4,left,test,35,3,0,0,1,False
4,left,test,36,3,2,2,1,False
4,left,test,37,0,4,4,1,False
4,left,test,38,5,1,1,1,False
4,left,test,39,2,2,2,1,False
4,left,test,40,0,5,5,1,False
4,left,test,41,5,5,5,1,False
4,left,test,42,1,4,4,1,False
4,left,test,43,6,2,2,1,False
4,left,test,44,2,4,4,1,False
4,left,test,45,5,2,2,1,False
4,left,test,46,5,4,4,1,False
4,left,test,47,2,6,6,1,False
4,left,test,48,6,4,4,1,False
4,left,test,49,6,1,7,0,False
4,left,test,50,3,1,1,1,False
4,left,test,51,2,7,7,1,False
4,left,test,52,4,3,3,1,False
4,left,test,53,0,3,3,1,False
4,left,test,54,5,6,6,1,False
4,left,test,55,4,7,6,0,False
5,left,training,0,,2,1,0,False
5,left,training,1,,1,7,0,False
5,left,training,2,,4,4,1,False
5,left,training,3,,0,0,1,False
5,left,training,4,,3,3,1,False
5,left,training,5,,5,5,1,False
5,left,training,6,,6,6,1,False
5,left,training,7,,7,7,1,False
5,left,training,8,,3,3,1,False
5,left,training,9,,6,6,1,False
5,left,training,10,,5,4,0,False
5,left,training,11,,7,7,1,False
5,left,training,12,,2,2,1,False
5,left,training,13,,1,1,1,False
5,left,training,14,,0,0,1,False
5,left,training,15,,4,4,1,False
5,left,training,16,,4,4,1,False
5,left,training,17,,0,0,1,False
5,left,training,18,,2,2,1,False
5,left,training,19,,7,7,1,False
5,left,training,20,,5,5,1,False
5,left,training,21,,3,3,1,False
5,left,training,22,,1,1,1,False
5,left,training,23,,6,6,1,False
5,left,training,24,,1,1,1,False
5,left,training,25,,2,2,1,False
5,left,training,26,,3,3,1,False
5,left,training,27,,4,4,1,False
5,left,training,28,,6,6,1,False
5,left,training,29,,5,5,1,False
5,left,training,30,,7,7,1,False
5,left,training,31,,0,0,1,False
5,left,training,32,,2,2,1,False
5,left,training,33,,5,5,1,False
5,left,training,34,,0,0,1,False
5,left,training,35,,1,7,0,False
5,left,training,36,,4,4,1,False
5,left,training,37,,6,6,1,False
5,left,training,38,,7,7,1,False
5,left,training,39,,3,3,1,False
5,left,training,40,,5,5,1,False
5,left,training,41,,6,6,1,False
5,left,training,42,,4,4,1,False
5,left,training,43,,1,1,1,False
5,left,training,44,,2,5,0,False
5,left,training,45,,7,7,1,False
5,left,training,46,,3,3,1,False
5,left,training,47,,0,0,1,False
5,left,training,48,,4,4,1,False
5,left,training,49,,1,1,1,False
5,left,training,50,,0,0,1,False
5,left,training,51,,2,4,0,False
5,left,training,52,,7,7,1,False
5,left,training,53,,5,5,1,False
5,left,training,54,,3,3,1,False
5,left,training,55,,6,4,0,False
5,left,training,56,,0,0,1,False
5,left,training,57,,5,5,1,False
5,left,training,58,,4,4,1,False
5,left,training,59,,6,6,1,False
5,left,training,60,,2,2,1,False
5,left,training,61,,1,1,1,False
5,left,training,62,,7,1,0,False
5,left,training,63,,3,3,1,False
5,left,test,0,4,6,6,1,False
5,left,test,1,0,0,0,1,False
5,left,test,2,1,4,4,1,False
5,left,test,3,6,0,5,0,False
5,left,test,4,0,4,4,1,False
5,left,test,5,2,2,4,0,False
5,left,test,6,3,7,7,1,False
5,left,test,7,5,3,1,0,False
5,left,test,8,3,2,6,0,False
5,left,test,9,1,0,0,1,False
5,left,test,10,4,7,7,1,False
5,left,test,11,5,6,6,1,False
5,left,test,12,6,3,2,0,False
5,left,test,13,0,1,1,1,False
5,left,test,14,5,0,0,1,False
5,left,test,15,4,4,4,1,False
5,left,test,16,5,2,6,0,False
5,left,test,17,4,0,0,1,False
5,left,test,18,1,7,7,1,False
5,left,test,19,1,2,4,0,False
5,left,test,20,2,5,5,1,False
5,left,test,21,3,4,4,1,False
5,left,test,22,0,5,5,1,False
5,left,test,23,4,1,3,0,False
5,left,test,24,3,0,0,1,False
5,left,test,25,2,7,7,1,False
5,left,test,26,3,6,6,1,False
5,left,test,27,6,2,1,0,False
5,left,test,28,3,3,6,0,False
5,left,test,29,1,3,3,1,False
5,left,test,30,0,7,7,1,False
5,left,test,31,2,0,5,0,False
5,left,test,32,1,5,5,1,False
5,left,test,33,5,5,4,0,False
5,left,test,34,5,4,6,0,False
5,left,test,35,4,3,3,1,False
5,left,test,36,6,4,1,0,False
5,left,test,37,0,3,3,1,False
5,left,test,38,6,6,6,1,False
5,left,test,39,2,6,6,1,False
5,left,test,40,5,7,7,1,False
5,left,test,41,6,5,2,0,False
5,left,test,42,1,6,6,1,False
5,left,test,43,0,6,6,1,False
5,left,test,44,2,3,3,1,False
5,left,test,45,5,1,1,1,False
5,left,test,46,6,1,1,1,False
5,left,test,47,2,1,7,0,False
5,left,test,48,4,5,5,1,False
5,left,test,49,6,7,1,0,False
5,left,test,50,3,1,6,0,False
5,left,test,51,3,5,5,1,False
5,left,test,52,0,2,6,0,False
5,left,test,53,1,1,1,1,False
5,left,test,54,4,2,6,0,False
5,left,test,55,2,4,4,1,False
6,left,training,0,,5,5,1,False
6,left,training,1,,3,4,0,False
6,left,training,2,,6,4,0,False
6,left,training,3,,7,4,0,False
6,left,training,4,,1,1,1,False
6,left,training,5,,4,4,1,False
6,left,training,6,,2,5,0,False
6,left,training,7,,0,0,1,False
6,left,training,8,,2,2,1,False
6,left,training,9,,5,5,1,False
6,left,training,10,,7,7,1,False
6,left,training,11,,0,0,1,False
6,left,training,12,,1,1,1,False
6,left,training,13,,6,6,1,False
6,left,training,14,,4,4,1,False
6,left,training,15,,3,3,1,False
6,left,training,16,,4,4,1,False
6,left,training,17,,3,3,1,False
6,left,training,18,,6,6,1,False
6,left,training,19,,0,0,1,False
6,left,training,20,,5,5,1,False
6,left,training,21,,2,2,1,False
6,left,training,22,,7,7,1,False
6,left,training,23,,1,1,1,False
6,left,training,24,,1,1,1,False
6,left,training,25,,5,5,1,False
6,left,training,26,,4,4,1,False
6,left,training,27,,6,6,1,False
6,left,training,28,,7,7,1,False
6,left,training,29,,2,2,1,False
6,left,training,30,,3,3,1,False
6,left,training,31,,0,0,1,False
6,left,training,32,,1,1,1,False
6,left,training,33,,4,4,1,False
6,left,training,34,,7,7,1,False
6,left,training,35,,0,0,1,False
6,left,training,36,,3,3,1,False
6,left,training,37,,6,6,1,False
6,left,training,38,,2,2,1,False
6,left,training,39,,5,5,1,False
6,left,training,40,,6,6,1,False
6,left,training,41,,4,4,1,False
6,left,training,42,,2,2,1,False
6,left,training,43,,3,3,1,False
6,left,training,44,,1,1,1,False
6,left,training,45,,5,5,1,False
6,left,training,46,,0,0,1,False
6,left,training,47,,7,7,1,False
6,left,training,48,,3,3,1,False
6,left,training,49,,2,2,1,False
6,left,training,50,,0,0,1,False
6,left,training,51,,1,1,1,False
6,left,training,52,,6,6,1,False
6,left,training,53,,5,5,1,False
6,left,training,54,,7,7,1,False
6,left,training,55,,4,4,1,False
6,left,training,56,,4,4,1,False
6,left,training,57,,3,3,1,False
6,left,training,58,,2,2,1,False
6,left,training,59,,0,0,1,False
6,left,training,60,,5,5,1,False
6,left,training,61,,1,1,1,False
6,left,training,62,,7,7,1,False
6,left,training,63,,6,6,1,False
6,left,test,0,0,0,0,1,False
6,left,test,1,1,4,2,0,False
6,left,test,2,4,2,2,1,False
6,left,test,3,5,6,2,0,False
6,left,test,4,0,6,6,1,False
6,left,test,5,6,1,2,0,False
6,left,test,6,4,0,4,0,False
6,left,test,7,1,3,3,1,False
6,left,test,8,6,6,6,1,False
6,left,test,9,5,0,4,0,False
