subject,condition,trial_type,trial_num,target_item,selected_item,correct,landing_position,excluded
2,left,test,61,0,0,1,52,False
2,left,test,62,2,2,1,68,False
2,left,test,63,4,4,1,32,False
3,left,training,0,1,1,1,,False
3,left,training,1,3,0,0,,False
3,left,training,2,7,6,0,,False
3,left,training,3,6,2,0,,False
3,left,training,4,2,2,1,,False
3,left,training,5,0,4,0,,False
3,left,training,6,5,3,0,,False
3,left,training,7,4,4,1,,False
3,left,training,8,1,1,1,,False
3,left,training,9,0,4,0,,False
3,left,training,10,5,5,1,,False
3,left,training,11,6,6,1,,False
3,left,training,12,4,4,1,,False
3,left,training,13,2,2,1,,False
3,left,training,14,7,3,0,,False
3,left,training,15,3,3,1,,False
3,left,training,16,6,6,1,,False
3,left,training,17,7,7,1,,False
3,left,training,18,0,0,1,,False
3,left,training,19,3,3,1,,False
3,left,training,20,4,4,1,,False
3,left,training,21,2,2,1,,False
3,left,training,22,1,1,1,,False
3,left,training,23,5,3,0,,False
3,left,training,24,7,7,1,,False
3,left,training,25,4,4,1,,False
3,left,training,26,1,1,1,,False
3,left,training,27,0,4,0,,False
3,left,training,28,3,3,1,,False
3,left,training,29,6,6,1,,False
3,left,training,30,5,5,1,,False
3,left,training,31,2,2,1,,False
3,left,training,32,4,4,1,,False
3,left,training,33,3,3,1,,False
3,left,training,34,6,6,1,,False
3,left,training,35,7,7,1,,False
3,left,training,36,5,5,1,,False
3,left,training,37,2,2,1,,False
3,left,training,38,0,0,1,,False
3,left,training,39,1,1,1,,False
3,left,training,40,6,6,1,,False
3,left,training,41,5,5,1,,False
3,left,training,42,4,4,1,,False
3,left,training,43,7,7,1,,False
3,left,training,44,1,1,1,,False
3,left,training,45,0,0,1,,False
3,left,training,46,2,2,1,,False
3,left,training,47,3,3,1,,False
3,left,training,48,3,3,1,,False
3,left,training,49,7,7,1,,False
3,left,training,50,4,4,1,,False
3,left,training,51,1,1,1,,False
3,left,training,52,6,6,1,,False
3,left,training,53,5,5,1,,False
